raw,replaced
"UPDATE 1-Japan's exports fall, imports from China slump as virus impact widens .","UPDATE 1-Japan's exports fall, imports from China slump as virus impact widens ."
2020-03-18 01:09:21 +00:00 .,2020-03-18 01:09:21 +00:00 .
"( Recasts , adds context , bullets . )","( Recasts , adds context , bullets . )"
"* Feb exports -1.0 % yr / yr vs forecast -4.3 % * Feb imports -14.0 % yr / yr , trade surplus 1.1 trln yen","* Feb exports -1.0 % yr / yr vs forecast -4.3 % * Feb imports -14.0 % yr / yr , trade surplus 1.1 trln yen"
"* Feb imports from China -47.1 % , largest drop since Aug 1986","* Feb imports from China -47.1 % , largest drop since Aug 1986"
* Feb trade surplus sees largest gain since Sept 2007,* Feb trade surplus sees largest gain since September 2007
"By Daniel Leussink TOKYO , March 18 ( Reuters ) - Japan ’s exports slipped for a 15th straight month in February as U.S. and China - bound shipments declined , suggesting a cooling of business activity in the world ’s third - largest economy due to the coronavirus outbreak .","By Daniel Leussink TOKYO , March 18 ( Reuters ) - Japan ’s exports slipped for a 15th straight month in February as U.S. and China - bound shipments declined , suggesting a cooling of business activity in the world ’s third - largest economy due to the spreading coronavirus epidemic ."
"Imports from China fell at their fastest pace since 1986 after the virus , which has killed more than 7,000 people worldwide , led to a widespread shutdown of production in the region ’s largest economy .","Imports from China  China fell at Imports from China fastest pace since Aug 1986 after the virus , which has killed more than 7,000 people worldwide , led to a widespread shutdown of production in the region ’s largest economy ."
"Ministry of Finance ( MOF ) data out on Wednesday showed Japan ’s exports fell 1.0 % from a year earlier in February , dragged by U.S.-bound shipments of cars and metal processing machinery to China .","The data  Wednesday showed Japan  Japan ’s exports The fall 1.0 % from a year earlier in February , dragged by U.S.-bound shipments of cars and metal processing machinery to China ."
"It was the 15th straight month of contraction , marking the longest such run since a 23 - month stretch to July 1987 when the height of the country ’s stock market and real estate bubble was not yet reached , Refinitiv data showed .","February was the 15th straight month of contraction , marking the longest such run since a 23 - month stretch to July 1987 when the height of China ’s stock market and real estate bubble was not yet reached , The data showed ."
"The fall was also smaller than a 4.3 % decline expected by economists , and followed a 2.6 % decrease in January .","The fall was also smaller than a 4.3 % decline expected by economists , and followed a 2.6 % decrease in January ."
The data offers the strongest evidence yet of the growing economic impact coronavirus crisis .,The data offers the strongest evidence yet of the growing economic impact coronavirus crisis .
Many companies complained about the closing of factories in China and declining trade with Asia ’s largest economy in a Reuters survey published on Wednesday .,Many companies That about the closing of factories in China and declining trade with Asia ’s largest economy in a Reuters survey published on Wednesday .
That followed a survey the previous day that showed Japanese business confidence slumped to decade lows in march as the spreading coronavirus outbreak is dealing a heavy blow to Japan ’s economy .,That followed a survey the previous day that showed Japanese business confidence slumped to decade lows in march as the spreading coronavirus epidemic is dealing a heavy blow to Japan ’s economy .
"By region , Japan ’s exports to China fell 0.4 % year - on - year in February , dragged down by falling shipments of integrated circuit chip manufacturing parts and ground products for chemicals .","By region , Japan ’s exports to China fell 0.4 % year - on - year in February , dragged down by falling shipments of integrated circuit chip manufacturing parts and ground products for chemicals ."
"U.S.-bound exports , a key destination for Japanese cars and electronics , dropped 2.6 % in February , posting a seventh straight month of declines due to falling exports of 3,000 - cc cars and semiconductor production equipment .","U.S.-bound exports , a key destination for Japanese cars and electronics , the sharp drop in imports from China 2.6 % in February , posting a seventh straight month of declines due to falling exports of 3,000 - cc cars and semiconductor production equipment ."
"Reflecting weak domestic demand , Japan ’s total imports shed 14.0 % , in line with the median estimate for a 14.4 % decrease , dragged down by the sharp drop in imports from China .","Reflecting weak domestic demand , Japan  Japan ’s total imports shed 14.0 % , in line with the median estimate for a 14.4 % decrease , dragged down by the sharp drop in imports from China  China ."
"Imports from China slumped 47.1 % from the previous year , seeing their biggest drop since August 1986 , ministry officials said , as the country went into lockdown due to the spreading coronavirus epidemic .","Imports from China  China slumped 47.1 % from the previous year , seeing Imports from China biggest drop since August 1986 , ministry officials said , as China went into lockdown due to the spreading coronavirus epidemic ."
"As a result , Japan ’s trade balance recorded a surplus of 1.110 trillion yen ( $ 10.34 billion ) , its largest since September 2007 , versus the median estimate for a 917.2 billion yen surplus .","As a result , Japan  Japan ’s trade balance recorded a surplus of 1.110 trillion yen ( $ 10.34 billion ) , Japan ’s largest since September 2007 , versus the median estimate for a 917.2 billion yen surplus ."
( $ 1 = 107.3500 yen ) ( Reporting by Daniel Leussink ;,( $ 1 = 107.3500 yen ) ( Reporting by Daniel Leussink ;
Editing by Sam Holmes ),Editing by Sam Holmes )
