raw,replaced
Competitive sport in England gets green light for Monday restart .,Competitive sport in England gets green light for Monday restart .
2020-05-30 17:26:20 +00:00 .,2020-05-30 17:26:20 +00:00 .
LONDON ( Reuters ) -,LONDON ( Reuters ) -
"After a near three - month shutdown , elite competitive sport in England can resume from Monday behind closed doors provided strict conditions are met , the government said on Saturday .","After a near three - month shutdown , elite competitive sport in England can resume from Monday behind closed doors provided strict conditions are met , The government said on Saturday ."
FILE PHOTO :,FILE PHOTO :
"Soccer Football - Premier League - Manchester City v West Ham United - Etihad Stadium , Manchester , Britain - February 19 , 2020","Soccer Football - Premier League - Manchester City v West Ham United - Etihad Stadium , Manchester , Britain - February 19 , 2020"
Manchester City 's Sergio Aguero in action with West Ham United 's Angelo Ogbonna Action Images via Reuters / Carl Recine,Manchester Sergio Aguero in action with West Ham Angelo Ogbonna Action Images via Reuters / Carl Recine
"The first major live event is expected to be the 2000 Guineas Stakes horse race at Newmarket on June 6 , although racing is set to start at Kempton Park on Tuesday .","The first major live event is expected to be the 2000 Guineas Stakes horse race at Newmarket on June 6 , although racing is set to start at Kempton Park on Tuesday ."
"Competitive sport was suspended in Britain in March in response to the coronavirus pandemic that has killed more than 38,000 people in the UK to date .","Competitive sport was suspended in Britain in March in response to the coronavirus pandemic that has killed more than 38,000 people in England to date ."
"Guidelines published on Saturday by the Department for Digital , Culture , Media and Sport ( DCMS ) , outlined a lengthy list of criteria that must be met to allow elite athletes and professional sportsmen to resume competition .","Guidelines published on Saturday by DCMS , outlined This guidance ."
“ The wait is over .,“ The wait is over .
"Live British sport will shortly be back on in safe and carefully controlled environments , ” Culture Secretary Oliver Dowden said in a statement .","Live British sport will shortly be back on in safe and carefully controlled environments , ” Dowden said in a statement ."
“ This guidance provides the safe framework for sports to resume competitions behind closed doors .,“ This guidance provides the safe framework for sports to resume competitions behind closed doors .
It is now up to individual sports to confirm they can meet these protocols and decide when it ’s right for them to restart . ”,It is now up to individual sports to confirm individual sports can meet these protocols and decide when it ’s right for these protocols to restart . ”
Dowden confirmed that preparations were being finalised for the Premier League and English Football League to return to action in June .,Dowden confirmed that preparations were being finalised for the Premier League and EPL to return to action in June .
"Premier League shareholders this week agreed a return to contact training with a provisional restart date of June 17 , provided safety requirements are in place .","EPL shareholders this week agreed a return to contact training with a provisional restart date of June 17 , provided safety requirements are in place ."
"“ The Premier League welcomes the government ’s announcement today , ” an EPL statement said .","“ EPL welcomes the government ’s announcement today , ” an EPL statement said ."
"“ We have provisionally planned to restart the Premier League on June 17 , but there is still much work to be done to ensure the safety of all involved . ”","“ The government have provisionally planned to restart EPL on June 17 , but there is still much work to be done to ensure the safety of all involved . ”"
DCMS said a “ significant proportion ” of the remaining 92 Premier League matches will be shown on free - to - air platforms .,DCMS said a “ significant proportion ” of the remaining 92 EPL matches will be shown on free - to - air platforms .
"“ The British sports bounceback has begun , ” it said on Twitter .","“ The British sports bounceback has begun , ” DCMS said on Twitter ."
"While the Premier League could resume on June 17 , other sports are in different positions .","While EPL could resume on June 17 , other sports are in different positions ."
"Domestic cricket remains suspended until Aug. 1 , while the Wimbledon tennis tournament has been cancelled for the first time since World War II .","Domestic cricket remains suspended until Aug. 1 , while the Wimbledon tennis tournament has been cancelled for the first time since World War II ."
Premiership rugby clubs hope to resume training from June 8 .,Premiership rugby clubs hope to resume training from June 8 .
The government ’s latest step for the resumption of elite level sport follow its ‘ stage two ’ guidance published on May 25 which allowed elite athletes to resume group training under carefully controlled conditions .,The government ’s latest step for the resumption of elite level sport  resume follow The government ’s latest step for the resumption of elite level sport ‘ stage two ’ guidance published on May 25 which allowed elite athletes to resume group training under carefully controlled conditions .
“ This is a significant moment for British sport .,“ This is a significant moment for British sport .
"By working with clinicians every step of the way , we ’re creating the safest possible environments for everyone involved , ” Dowden said .","By working with clinicians every step of the way , we ’re creating the safest possible environments for everyone involved , ” Dowden said ."
"Measures , agreed in conjunction with Public Health England and medical representatives from sports bodies , include players travelling alone to venues , being screened for coronavirus symptoms before entering , and maintaining social distancing where possible , including celebrations .","Measures , agreed in conjunction with Public Health England and medical representatives from sports bodies , include players travelling alone to venues , being screened for coronavirus symptoms before entering , and maintaining social distancing where possible , including celebrations ."
Dressing room usage will be minimised and only essential physiotherapy allowed while recovery sessions will be held outside .,Dressing room usage will be minimised and only essential physiotherapy allowed while recovery sessions will be held outside .
"High - contact areas must be regularly disinfected , while catering must be limited .","High - contact areas must be regularly disinfected , while catering must be limited ."
The government also announced on Saturday that people in England will be able to exercise outside with up to five others from different households from Monday .,The government also The announcement on Saturday that people in England will be able to exercise outside with up to five others from different households from Monday .
"The announcement did not apply to Wales , Scotland and Northern Ireland .","The announcement did not apply to Wales , Scotland and Northern Ireland ."
Reporting by Martyn Herman ;,Reporting by Martyn Herman ;
Editing by Hugh Lawson and Toby Davis,Editing by Hugh Lawson and Toby Davis
