raw,replaced
There’s No Real Oversight Of The $2 Trillion Coronavirus Relief Law .,There’s No Real Oversight Of The $2 Trillion Coronavirus Relief Law .
2020-04-19 15:04:54 +00:00 .,2020-04-19 15:04:54 +00:00 .
"When Congress passed the largest spending law in American history , a $ 2 trillion outlay aimed at offsetting the economic damage wrought by the coronavirus pandemic , it set up three different ways to look after the enormous sums and root out corruption or mismanagement of the cash .","When Congress passed the largest spending law in American history , a $ 2 trillion outlay aimed at offsetting the economic damage wrought by the coronavirus pandemic , Congress set up three different ways to look after the enormous sums and root out corruption or mismanagement of the cash ."
"Three weeks later , none of the three options ― a special inspector general appointed by President Donald Trump , a council of existing inspectors general , or a special oversight panel set up by Congress ― are active .","Three weeks later , none of the three options ― a special inspector general appointed by Trump , the council of existing inspectors general , or a special oversight panel set up by Congress ― are active ."
"Sabotage by the Trump administration , combined with congressional apathy and gridlock , means the Treasury Department and the Federal Reserve are spending hundreds of millions of dollars with no real watchdogs .","Sabotage by the Trump administration , combined with congressional apathy and gridlock , means the Federal Reserve and Treasury Department  Treasury Department and Federal Reserve are spending hundreds of millions of dollars with no real watchdogs ."
"The special inspector general appointed by Trump has views of executive power that have alarmed Democrats , and stands little chance of confirmation until May.","The special inspector general appointed by Trump has views of executive power that have alarmed Democrats , and stands little chance of confirmation until May."
Trump shoved aside the leader of the council of existing inspectors general .,Trump shoved aside the leader of the council of existing inspectors general .
And the congressional oversight panel ’s roster remains unfilled .,And the congressional oversight panel ’s roster remains unfilled .
"Meanwhile , the government program to loan money to small businesses to keep workers on the job has already burned through more than $ 300 billion , and the Federal Reserve and Treasury Department have unveiled a slew of programs to push trillions more into the economy .","Meanwhile , the government program to loan money to small businesses to keep workers on the job has already burned through more than $ 300 billion , and Federal Reserve  the Federal Reserve and Treasury Department  Federal Reserve and Treasury Department have unveiled a slew of programs to push trillions more into the economy ."
The shambolic state of efforts to oversee the relief efforts has left government accountability advocates dismayed and progressives frustrated with the oversight of a massive spending deal that Democrats and Republican teamed up to pass with almost no objections .,The shambolic state of efforts to oversee the relief efforts has left government accountability advocates dismayed and progressives frustrated with the oversight of a massive spending deal that Democrats and Republican teamed up to pass with almost no objections .
"“ We ca n’t really afford to be behind the ball on oversight right now , because we will miss a crucial opportunity to stop waste , fraud and abuse before it happens , ” said Liz Hempowicz , director of public policy at the Project On Government Oversight .","“ the Project On Government Oversight ca n’t really afford to be behind the ball on oversight right now , because the Project On Government Oversight will miss a crucial opportunity to stop waste , fraud and abuse before waste , fraud and abuse happens , ” said Liz Hempowicz , director of public policy at the Project On Government Oversight ."
Here ’s a breakdown of how each part of the oversight triad is failing :,Here ’s a breakdown of how each part of the oversight triad is failing :
The Congressional Oversight Commission,The Congressional Oversight Commission
"The oversight commission , which is supposed to oversee the $ 500 billion that ...","The oversight commission , which is supposed to oversee the $ 500 billion that ..."
Continue reading on HuffPost,Continue reading on HuffPost
