raw,replaced
"Coronavirus will likely hit these states hardest financially, according to Moody's .","Coronavirus will likely hit these states hardest financially, according to Moody's ."
2020-04-04 17:57:54 +00:00 .,2020-04-04 17:57:54 +00:00 .
"Nevada is likely to be hit the hardest financially by the coronavirus outbreak , according to research compiled by Moody ’s Analytics .","Nevada is likely to be hit the hardest financially by the COVID-19 outbreak , according to research compiled by Moody ’s ."
"“ If you 're getting hit hard now and businesses are failing , and there 's bankruptcy and people are taking on debt or starting to default on debt , it 's going to be harder for those economies to recover , ” Moody ’s Analytics Chief Economist Mark Zandi told Yahoo Finance .","“ If you 're getting hit hard now and businesses are failing , and there 's bankruptcy and people are taking on debt or starting to default on debt , it 's going to be harder for those economies to recover , ” Moody ’s  Zandi told Yahoo Finance ."
“ So the No . 1 criteria for determining who recovers more gracefully will be who gets hit least hard during this period . ”,“ So the No . 1 criteria for determining who recovers more gracefully will be who gets hit least hard during this period . ”
"Moody ’s looked at six metrics : exposure to the COVID-19 ( 20 % ) , demographics of the city and state ( 20 % ) , trade and travel disruptions ( 20 % ) , tourism ( 20 % ) , finance ( 10 % ) and commodities ( 10 % ) .","Moody ’s looked at six metrics : exposure to the COVID-19 ( 20 % ) , demographics of the city and state ( 20 % ) , trade and travel disruptions ( 20 % ) , tourism ( 20 % ) , finance ( 10 % ) and commodities ( 10 % ) ."
"The data , compiled on March 30 , comes with a caveat :","The data , compiled on March 21 , comes with a caveat :"
"The virus is constantly evolving and spreading , making it difficult to pin down concrete numbers .","The virus is constantly evolving and spreading , making it difficult to pin down concrete numbers ."
( Graphic : David Foster / Yahoo Finance ),( Graphic : David Foster / Yahoo Finance )
More Nevada and Hawaii were likely to face more pain because of the massive hit to their tourism industries as most states have discouraged travel and put in place orders for people to stay at home .,More Nevada and Hawaii  Nevada and Hawaii were likely to face more pain because of the massive hit to More Nevada and Hawaii tourism industries as most states have discouraged travel and put in place orders for people to stay at home .
Read more : Stuck at home ?,Read more : Stuck at home ?
"Here ’s where to get free music , theater , and more during coronavirus isolation","Here ’s where to get free music , theater , and more during coronavirus isolation"
"The state of Washington , the site of the first outbreak within the U.S. , was No . 3 on Moody ’s list .","The state of Washington , the site of the first outbreak within the U.S. , was No . 3 on Moody ’s list ."
"New York — which has the most confirmed cases of any state — was the No . 5 most exposed , according to Moody ’s .","New York — which has the most confirmed cases of any state — was the No . 5 most exposed , according to Moody ’s ."
"On the other end of the spectrum , states like West Virginia and Missouri were the least exposed amid the COVID-19 outbreak so far , setting them up for an easier recovery in the future .","On the other end of the spectrum , states like West Virginia and Missouri were the least exposed amid the COVID-19 outbreak so far , setting states like West Virginia and Missouri up for an easier recovery in the future ."
Zandi noted that data on consumer loans since the national emergency began and other information wo n’t be available for the next few weeks at least and stressed that the picture may change .,Zandi noted that data on consumer loans since the national emergency began and other information wo n’t be available for the next few weeks at least and stressed that the picture may change .
Coronavirus cases continue to rise .,Coronavirus cases continue to rise .
( Graphic : David Foster / Yahoo Finance ),( Graphic : David Foster / Yahoo Finance )
More,More
Unemployment claims soar,Unemployment claims soar
The economic shock has been felt across industries .,The economic shock has been felt across industries .
"On March 31 , the Transportation Security Administration said that it screened only 154,080 passengers across the country — the lowest in the past decade .","On March 21 , the Transportation Security Administration said that the Transportation Security Administration screened only 154,080 passengers across the U.S. — the lowest in the past decade ."
"On the same day in 2019 , it screened 2.3 million people .","On the same day in 2019 , the Transportation Security Administration screened 2.3 million people ."
The travel and hospitality industry hit has led to nearly 11 % of Hawaii ’s eligible pool of workers filing for unemployment claims during the week ending March 21 and another wave of claims in the week ending March 28 .,The travel and hospitality industry hit has led to nearly 11 % of Hawaii ’s eligible pool of workers filing for unemployment claims during the week ending March 21 and another wave of claims in the week ending March 28 .
"Nevada saw an initial fourteen fold increase for the week ending March 21 , which abated a little but is still at historic levels .","Nevada saw an initial fourteen fold increase for the week that ended October 2 , 1982  March 21 ."
"Initial jobless claims nationwide are at unprecedented levels : The latest data showed a staggering 6.648 million people filed for unemployment claims , up from 3.307 million claims in the previous week .","Initial jobless claims nationwide are at unprecedented levels : The latest data showed a staggering 6.648 million people filed for unemployment claims , up from 3.307 million claims in the previous week ."
"Prior to the coronavirus - induced economic shock , the previous record was 695,000 claims filed the week that ended October 2 , 1982 .","Prior to The economic shock , the previous record was 695,000 claims filed the week that ended October 2 , 1982 ."
Story continues,Story continues
