raw,replaced
Pompeo says initial reports show shots fired from North Korea were 'accidental' .,I says initial reports show shots fired from the North were 'accidental' .
2020-05-03 16:48:24 +00:00 .,2020-05-03 16:48:24 +00:00 .
""" I 've seen that reporting too .",""" I 've seen that reporting too ."
I 've seen some of our internal information as well .,I 've seen some of We internal information as well .
We can confirm at least the initial reports are that you 've described are just about right .,We can confirm at least the initial reports are that you 've described are just about right .
A handful of shots that came across from the North .,A handful of shots that came across from the North .  the North .
We think those were accidental .,We think A handful of shots that came across from the North . were accidental .
"South Koreans did return fire so far as we can tell there was no loss of life on either side , "" Pompeo said Sunday on ABC 's "" This Week . ""","South Koreans did return fire so far as we can tell there was no loss of life on either side , "" I said Sunday on ABC 's "" This Week . """
A US official told CNN on Saturday that the current analysis from multiple threads of intelligence is that the photos published by North Korean state media showing Kim at a fertilizer plant opening are legitimate .,A US official told CNN on Sunday that the current analysis from multiple threads of intelligence is that the photos published by North Korean state media showing Kim at a fertilizer plant opening are legitimate .
CNN can not independently verify the authenticity of the photograph or video or the date it was shot .,CNN can not independently verify the authenticity of the photograph or video or the date the photograph or video was shot .
Questions regarding Kim 's health were initially raised after he missed the celebration of his grandfather 's birthday on April 15 .,Questions regarding Kim  Kim 's health were initially raised after Kim missed the celebration of Kim grandfather 's birthday on April 15 .
"He had been seen four days before that at a politburo meeting , according to North Korean state media , KCNA .","Kim had been that four days before that at a politburo meeting , according to North Korean state media , KCNA ."
"CNN previously reported that the United States was monitoring intelligence that Kim was "" in grave danger after a surgery , "" according to a US official .","CNN previously reported that the United States was monitoring intelligence that Kim was "" in grave danger after a surgery , "" according to a US official ."
"Another US official told CNN Monday that the concerns about Kim 's health are credible , but their severity was hard to assess .","Another US official told CNN Monday that the concerns about Kim 's health  Kim  Kim 's health are credible , but the concerns about Kim 's health severity was hard to assess ."
"On Sunday , Pompeo was tight - lipped regarding Kim 's health .","On Sunday , I was tight - lipped regarding Kim  Kim 's health ."
""" We do n't know why he chose to miss that moment .",""" CNN do n't know why Kim chose to miss that moment ."
"We know there 've been other extended periods of time where Chairman Kim 's been out of public view as well , so it 's not unprecedented .","We know there 've been other extended periods of time where Kim 's been out of public view as well , so it 's not unprecedented ."
So there 's not much I can share with you other than we 've seen the same images from yesterday that the world saw .,So there 's not much I can share with you other than we 've seen the same images from yesterday that the world saw .
"It looks like Chairman Kim is alive and well , "" Pompeo said .","It looks like Kim is alive and well , "" I said ."
""" Regardless of any of that , our mission is , remains the same -- to convince the North Koreans to give up their nuclear weapons , to verify the same and to then create a brighter future for the North Korean people . """,""" Regardless of any of that , our mission is , remains the same -- to convince the North to give up the North nuclear weapons , to verify the same and to then create a brighter future for the North . """
"Asked if he was gravely ill during the period where Kim was out of public view , Pompeo would only say that "" I just ca n't say anything about that . ""","Asked if Kim was gravely ill during the period where Kim was out of public view , I would only say that "" I just ca n't say anything about that . """
He also refused to say whether the US had any information about whether Kim 's situation was connected to Covid-19 or a heart issue .,I also refused to say whether the United States had any information about whether Kim situation was connected to Covid-19 or a heart issue .
